,shot,gas_name,collisionality,heating power,pressure,gas,R_0,ne,Te,phif,phip,I_B,filename
0,10259,Kr,0.77255768,27.120024,85.587898,83,0.04,2.092e+18,3.266,6.132,24.25,,
1,10259,Kr,0.77255768,27.120024,85.587898,83,0.05,2.012e+18,3.296,5.806,24.09,,
2,10259,Kr,0.77255768,27.120024,85.587898,83,0.06,2.074e+18,3.643,4.838,25.04,,
3,10259,Kr,0.77255768,27.120024,85.587898,83,0.07,1.913e+18,3.871,3.484,24.96,,
4,10259,Kr,0.77255768,27.120024,85.587898,83,0.08,1.563e+18,4.445,0.9074,25.56,,
5,10259,Kr,0.77255768,27.120024,85.587898,83,0.09,8.08e+17,5.445,-5.253,24.95,,
6,10259,Kr,0.77255768,27.120024,85.587898,83,0.1,3.409e+17,7.334,-15.1,25.58,,
7,10259,Kr,0.77255768,27.120024,85.587898,83,0.11,2.281e+17,8.408,-20.04,26.6,,
8,10259,Kr,0.77255768,27.120024,85.587898,83,0.12,2.611e+17,5.486,-4.142,26.29,,
9,10259,Kr,0.77255768,27.120024,85.587898,83,0.13,3.827e+17,3.402,6.376,25.24,,
10,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.04,1.324e+18,3.343,1.595,20.14,,
11,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.05,1.312e+18,3.434,1.191,20.24,,
12,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.06,1.235e+18,3.586,0.4295,20.32,,
13,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.07,1.119e+18,3.988,-1.177,20.94,,
14,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.08,8.859e+17,4.615,-4.078,21.52,,
15,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.09,4.952e+17,5.718,-10.05,21.67,,
16,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.1,2.28e+17,6.688,-16.78,20.31,,
17,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.11,1.779e+17,7.225,-18.16,21.92,,
18,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.12,1.6e+17,4.562,-5.686,19.62,,
19,10260,Kr,0.86266673,13.404324,85.14068999999999,83,0.13,1.584e+17,3.123,1.982,19.3,,
20,10261,Kr,0.44541819,27.009322,42.813627,83,0.04,3.137e+18,5.915,-1.189,31.62,,
21,10261,Kr,0.44541819,27.009322,42.813627,83,0.05,3.054e+18,6.091,-1.806,31.98,,
22,10261,Kr,0.44541819,27.009322,42.813627,83,0.06,2.661e+18,6.502,-3.661,32.4,,
23,10261,Kr,0.44541819,27.009322,42.813627,83,0.07,2.17e+18,7.144,-6.151,33.47,,
24,10261,Kr,0.44541819,27.009322,42.813627,83,0.08,1.381e+18,8.166,-10.98,34.31,,
25,10261,Kr,0.44541819,27.009322,42.813627,83,0.09,6.565e+17,9.226,-17.8,33.37,,
26,10261,Kr,0.44541819,27.009322,42.813627,83,0.1,5.264e+17,11.7,-20.08,44.81,,
27,10261,Kr,0.44541819,27.009322,42.813627,83,0.11,4.391e+17,11.55,-18.95,45.09,,
28,10261,Kr,0.44541819,27.009322,42.813627,83,0.12,3.995e+17,6.136,-1.659,32.38,,
29,10261,Kr,0.44541819,27.009322,42.813627,83,0.13,4.056e+17,4.103,5.782,28.54,,
30,10262,Kr,0.35180435,13.332284,41.786088,83,0.04,2.001e+18,4.833,-3.193,23.61,,
31,10262,Kr,0.35180435,13.332284,41.786088,83,0.05,1.936e+18,4.826,-3.581,23.18,,
32,10262,Kr,0.35180435,13.332284,41.786088,83,0.06,1.822e+18,5.249,-5.012,24.1,,
33,10262,Kr,0.35180435,13.332284,41.786088,83,0.07,1.533e+18,6.256,-7.81,26.89,,
34,10262,Kr,0.35180435,13.332284,41.786088,83,0.08,9.324e+17,6.923,-12.4,26.0,,
35,10262,Kr,0.35180435,13.332284,41.786088,83,0.09,2.805e+17,8.388,-24.07,22.46,,
36,10262,Kr,0.35180435,13.332284,41.786088,83,0.1,1.862e+17,8.913,-26.62,22.81,,
37,10262,Kr,0.35180435,13.332284,41.786088,83,0.11,1.52e+17,9.433,-26.33,26.0,,
38,10262,Kr,0.35180435,13.332284,41.786088,83,0.12,1.53e+17,5.292,-7.105,22.25,,
39,10262,Kr,0.35180435,13.332284,41.786088,83,0.13,1.355e+17,3.64,0.238,20.43,,
40,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.04,1.266e+18,2.897,8.492,23.48,,
41,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.05,1.314e+18,2.981,8.337,23.77,,
42,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.06,1.345e+18,3.095,7.921,23.94,,
43,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.07,1.327e+18,3.336,6.996,24.26,,
44,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.08,1.23e+18,3.747,5.463,24.85,,
45,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.09,9.691e+17,4.498,2.384,25.66,,
46,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.1,5.168e+17,5.33,-2.328,25.26,,
47,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.11,3.952e+17,6.648,-5.179,29.23,,
48,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.12,3.441e+17,4.337,2.563,25.01,,
49,10266,Ar,6.940539599999999,27.102438000000003,172.79257,39,0.13,2.965e+17,2.952,8.12,23.4,,
50,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.04,1.534e+18,3.156,7.986,24.32,,
51,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.05,1.566e+18,3.181,7.886,24.35,,
52,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.06,1.559e+18,3.334,7.267,24.52,,
53,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.07,1.531e+18,3.634,6.264,25.07,,
54,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.08,1.367e+18,4.101,4.415,25.64,,
55,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.09,9.726e+17,4.937,0.8274,26.38,,
56,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.1,5.057e+17,5.875,-4.331,26.07,,
57,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.11,3.964e+17,7.804,-8.009,32.38,,
58,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.12,3.607e+17,4.997,0.8986,26.76,,
59,10267,Ar,5.738379999999999,27.146109,127.00456,39,0.13,3.155e+17,3.155,7.739,24.07,,
60,10268,Ar,6.2786718,13.373256,129.20354,39,0.04,1.139e+18,3.019,4.22,19.84,,
61,10268,Ar,6.2786718,13.373256,129.20354,39,0.05,1.155e+18,3.109,4.032,20.12,,
62,10268,Ar,6.2786718,13.373256,129.20354,39,0.06,1.083e+18,3.28,3.475,20.45,,
63,10268,Ar,6.2786718,13.373256,129.20354,39,0.07,1.045e+18,3.515,2.538,20.73,,
64,10268,Ar,6.2786718,13.373256,129.20354,39,0.08,9.068e+17,4.017,0.6779,21.47,,
65,10268,Ar,6.2786718,13.373256,129.20354,39,0.09,6.18e+17,4.642,-2.557,21.47,,
66,10268,Ar,6.2786718,13.373256,129.20354,39,0.1,3.391e+17,5.335,-6.629,20.98,,
67,10268,Ar,6.2786718,13.373256,129.20354,39,0.11,2.208e+17,6.061,-8.888,22.48,,
68,10268,Ar,6.2786718,13.373256,129.20354,39,0.12,1.64e+17,4.028,-1.904,18.94,,
